Study,S2-Drydown,S2-Drydown,S2-Drydown after treatment,S2-Drydown after treatment,S3-Girdled before treatment,S3-Girdled before treatment,S3-Girdled,S3-Girdled,S3-Girdled,S3-Girdled,S3-Girdled,S3-Logged before treatment,S3-Logged,S3-Logged,S3-Logged,S3-Logged,S3-Logged,S21-Partially logged,S21-Partially logged,S19-Warming before treatment,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S15-Warming,S15-Warming,S15-Warming,S15-Warming,S15-Warming+fertilized,S15-Warming+fertilized,S15-Warming+fertilized,S15-Warming+fertilized,S15-Fertilized,S15-Fertilized,S15-Fertilized,S15-Fertilized,S16-Hardwood-high fert.,S16-Hardwood low fert.,S16-Pine high fert.,S16-Pine low fert.,S22-Double litter,S22-Double litter,S22-Double litter,S22-Double litter,S22-Double litter,S22-Double litter,S22-No litter,S22-No litter,S22-No litter,S22-No litter,S22-No litter,S22-No litter,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons
NaN,0.790208919,0.674847492,1.055387116,0.995978546,1.077931216,1.009130438,0.807766052,0.979362326,0.803065094,0.686970691,0.703196781,0.928915674,1.12437377,0.938762124,0.822495727,1.087564034,1.087358857,0.833962508,0.8695806,0.952003674,1.267409203,1.060594401,1.091956799,0.977020082,1.049046007,0.997794057,0.969323121,1.17631255,1.191777519,1.100344084,1.366923606,1.191841567,1.117033064,1.081473797,0.942075017,1.051950771,1.033098651,0.879481821,1.040196014,1.056194987,1.045498956,1.115282178,1.046331383,1.043402465,1.074938499,1.092305575,1.102399781,1.177904636,1.032997295,1.586948797,1.46265254,1.666269201,1.407084836,1.41536489,1.427409683,1.467947553,1.286907267,1.346910862,1.210943979,1.328247056,1.281953616,0.813898795,0.869188587,0.932377098,0.82834239,1.342510458,1.082437933,1.285301006,1.339158485,0.900936087,1.08897878,0.920106839,0.819096356,0.879118959,0.750842144,0.678710471,0.83941203,0.621591374,0.660273537,0.456804134,0.436717081,0.332259694,0.281789824,0.664336406,0.626811979,0.611638677,0.580679016,0.38647043,0.280453381,0.470432134,0.510646143,0.31526233,0.307057593,0.359005406,0.457317256
NaN,0.780565679,0.650164786,0.973557882,0.982282161,1.108634115,1.07699735,0.824530143,0.971778554,0.818657846,0.741333155,0.74640863,0.964035483,1.108184432,0.930131408,0.853036931,1.114673515,1.142969857,0.797603921,0.884267972,0.924707505,1.232627237,1.014617293,1.045038535,0.976369885,1.015155151,0.961639731,0.944762121,1.29590448,1.3065446,1.139232553,1.30732141,1.19776761,1.124408427,1.139353579,1.021177091,1.110319366,1.062162053,0.934487848,1.115378244,1.024155339,0.968621901,0.979554108,1.110889819,0.990778662,1.077111206,1.099532395,1.041155339,1.0803786,0.994252599,1.292973705,1.299112272,1.467768245,1.251060047,1.152912851,1.377576159,1.488385725,1.296599144,1.335073519,1.2045768,1.286871172,1.182547474,0.783875671,0.877349008,0.944889211,0.914727551,1.394358118,0.992746281,1.281742385,1.255706878,0.874219354,1.138764187,0.914188635,0.83132947,0.853114827,0.757197217,0.660282887,0.736871586,0.602707684,0.628190747,0.452049301,0.468455135,0.33026195,0.315162241,0.633238201,0.64979444,0.599257019,0.589309625,0.390658253,0.293675894,0.479330576,0.510100976,0.306454586,0.295480925,0.344313044,0.492041768
NaN,0.787173163,0.659931955,1.059511664,1.033995743,1.090170269,1.01051085,0.78762254,0.942280804,0.791318925,0.748846788,0.738135221,0.851081064,0.982802297,0.810164877,0.765514791,1.06623325,1.006145441,0.730427978,0.818763676,0.908486025,1.193981554,1.016334818,1.048138154,0.944109358,1.012842763,0.976614288,0.968909746,1.192417884,1.261537153,1.100624545,1.163921615,1.0689749,1.049326213,0.998910313,0.89681292,0.959197486,0.948343069,0.821265396,1.011222516,1.045749474,0.983310453,0.957411359,1.022265259,0.984362135,0.994761039,1.017326678,0.986580497,1.081917306,0.982874731,1.473357038,1.441731498,1.529031191,1.364945725,1.246132551,1.404643837,1.54126139,1.34916174,1.384946452,1.219837585,1.35121812,1.204258231,0.82234253,0.894176794,0.938874059,0.82834239,1.491495914,1.168951967,1.320428871,1.235401961,0.873785015,0.986191637,0.940660517,0.895569187,0.881675931,0.749651268,0.692909039,0.768200185,0.623016757,0.667863748,0.471361299,0.429594644,0.330624568,0.291253592,0.655697755,0.675311581,0.619576518,0.592216727,0.392730097,0.287731476,0.484853885,0.537518558,0.306215747,0.303110481,0.362493228,0.446231391
NaN,0.811070943,0.702584923,1.082576446,1.022274686,1.078021599,1.014610406,0.79853288,0.939926478,0.741956791,0.699486342,0.680619595,0.867960612,1.003163765,0.839040436,0.803941341,1.040548185,1.013959727,0.831783544,0.88403234,0.978555961,1.350086022,1.078063019,1.130753725,1.015311182,1.105322075,1.017284774,1.04512142,1.313337384,1.268296795,1.093331099,1.210409234,1.113826689,1.061294452,1.050997375,0.942533285,1.007084033,0.988267162,0.860012232,1.070066188,1.048084889,0.978343336,1.013283278,1.1265695,1.035733733,1.134068145,1.180594469,1.107193686,1.195107284,1.091504248,1.301492011,1.296728838,1.42632725,1.271014782,1.340921033,1.441136301,1.57211402,1.394775954,1.262449827,1.13059022,1.25983764,1.192376391,0.774214396,0.826808347,0.944889211,0.884162862,1.422544079,0.998729253,1.304666572,1.278862167,0.892981839,0.995373249,0.981836904,0.825587298,0.858340316,0.785766901,0.670440553,0.700322552,0.622729234,0.626151099,0.475101166,0.464273013,0.317097173,0.26748894,0.667989151,0.636207484,0.590379905,0.596728711,0.398832842,0.284226376,0.483458552,0.505483261,0.313749571,0.313154987,0.365739414,0.469046056
NaN,0.797744206,0.660920221,1.025199394,1.021823739,1.092162662,1.020804011,0.835602954,0.962210655,0.766015929,0.712017907,0.709325538,0.922118317,0.982287686,0.812187265,0.720193249,0.948052023,1.04703994,0.718636388,0.80317356,0.970552816,1.291135641,1.095127366,1.111359851,1.051676614,1.116267399,1.045995079,1.019401956,1.17631255,1.191777519,1.100344084,1.366923606,1.191841567,1.117033064,1.081473797,0.942075017,1.051950771,1.033098651,0.879481821,1.040196014,1.056194987,1.045498956,1.115282178,1.046331383,1.043402465,1.074938499,1.092305575,1.102399781,1.177904636,1.032997295,1.399854635,1.405059895,1.508452551,1.335989739,1.396833412,1.457127185,1.449298043,1.294190735,1.266566571,1.201232676,1.274590424,1.233820251,0.780429735,0.842328581,0.88115888,0.927345694,1.402247515,1.078811716,1.322093336,1.257913345,0.930760113,1.046085901,0.953092689,0.764062849,0.906638342,0.754033634,0.6833612,0.824025705,0.606581466,0.622464456,0.480636489,0.428809232,0.333265126,0.309383247,0.625484459,0.585155598,0.631682296,0.581072274,0.401253831,0.295270328,0.501440374,0.480850406,0.300473011,0.315475723,0.360840395,0.516449143
NaN,0.760645805,0.658961976,1.022273716,0.970858492,1.094422195,1.03715301,0.7871387,0.984772265,0.77375308,0.696560585,0.717574237,0.874093401,1.007289172,0.905845278,0.821390479,1.044965139,1.019969103,0.758773744,0.839507358,0.858836184,1.207582775,1.00560413,1.014879713,0.955276942,1.018487892,0.951898006,1.004494124,1.206744079,1.22002207,1.091125297,1.246067556,1.113758152,1.045241244,1.044646626,0.921342467,1.002775055,0.965584965,0.866092506,1.012684922,1.018696898,0.975083431,0.941932834,1.066156292,0.97960563,1.023729952,1.046196324,0.991648712,1.036733382,0.949457723,1.312317688,1.349880787,1.47544724,1.276714536,1.152912851,1.377576159,1.488385725,1.296599144,1.272950756,1.17693227,1.303224046,1.197723498,0.891998305,0.947122254,0.866234396,0.857994065,1.169971083,1.073775751,1.299939969,1.291130763,0.8649991,1.091365334,0.899167878,0.854061537,0.836731289,0.737279821,0.663750491,0.782403088,0.581076077,0.609136456,0.469770777,0.464348205,0.323503473,0.311556809,0.6310023,0.638422231,0.614535553,0.58135742,0.402911835,0.309287912,0.477615685,0.508664668,0.305392751,0.296848252,0.347953784,0.505227672
NaN,0.854841097,0.719190903,1.159736456,1.181539425,1.021411328,0.969944257,0.793886029,0.926018713,0.781798684,0.696672403,0.692980717,0.875517635,1.047928182,0.858122224,0.808786238,1.031742285,1.052857047,0.801452891,0.849854678,0.937667795,1.277710545,1.081143659,1.095348657,1.046964831,1.148827989,1.078511656,1.022779424,1.229038067,1.302737629,1.150311231,1.173783386,1.092037145,1.06244203,1.048224376,0.94914491,1.004675687,0.972797166,0.80960976,1.046432416,1.065455619,0.96655938,0.914577796,0.967638436,0.953116025,0.950288857,0.962307269,0.900228979,1.009417269,0.857459678,1.456639253,1.409718703,1.592485651,1.345160218,1.340921033,1.441136301,1.57211402,1.394775954,1.270772317,1.149225263,1.261421278,1.152174172,0.813898795,0.890993848,0.892654523,0.87080711,1.408413472,1.171111822,1.307984833,1.179038269,0.928851979,1.149185219,0.920519492,0.882453845,0.890995852,0.7260132,0.685522097,0.854863129,0.614498168,0.662195103,0.458635438,0.448329007,0.345155778,0.310112688,0.650754492,0.696496567,0.638879261,0.579418623,0.406198216,0.313458472,0.466873101,0.522662163,0.307937622,0.307027383,0.358901133,0.524423073
NaN,0.82801819,0.692075799,1.089486535,1.050328375,1.06001957,0.990442504,0.77073325,0.952775754,0.747358604,0.660553801,0.686385353,0.858399808,1.019118838,0.885299025,0.766051072,0.971467463,0.964613541,0.874468999,0.909089254,0.913173945,1.275574727,1.094597473,1.139113017,1.011509691,1.133675538,1.050525146,1.01286967,1.208808062,1.254483571,1.075132465,1.095577901,1.01313714,1.014372976,0.963468109,0.878569629,0.937962301,0.917405236,0.773934764,1.025122104,1.039902418,0.960535539,0.901193615,0.96886737,0.951572863,0.959466054,0.996631853,0.964739093,1.046621876,0.926230334,1.363139308,1.413949136,1.476575105,1.311768193,1.152912851,1.377576159,1.488385725,1.296599144,1.141286962,1.174316769,1.261655394,1.14365023,0.799907192,0.875676917,0.886540148,0.86042835,1.378563372,0.99526437,1.333872331,1.279854201,0.894173046,1.064310205,0.883000267,0.787538766,0.893387967,0.776280184,0.662296623,0.720541595,0.594498507,0.658309136,0.467796164,0.435860197,0.350656438,0.300887322,0.638162665,0.634902197,0.630535737,0.616142381,0.402494022,0.279930792,0.473029128,0.478247152,0.320121413,0.308179124,0.357459745,0.488479483
NaN,0.778477642,0.685316523,1.078380068,1.08760609,1.080941848,1.036643336,0.78582946,0.942288349,0.775281357,0.674460365,0.683734106,0.933187338,1.03418018,0.855165597,0.793491213,1.032145744,1.04416178,0.764734818,0.835030682,0.906241698,1.241532773,1.047220468,1.052691092,1.0040974,1.03341828,0.975060023,0.989628236,1.206744079,1.22002207,1.091125297,1.246067556,1.113758152,1.045241244,1.044646626,0.921342467,1.002775055,0.965584965,0.866092506,1.032243882,1.071446353,0.989477123,0.971630465,1.020968593,0.985958471,0.985246249,0.982289352,0.920609894,1.043458041,0.909898348,1.454066265,1.471747169,1.509605646,1.372670865,1.460076105,1.50030682,1.600571109,1.46124149,1.266566571,1.201232676,1.274590424,1.233820251,0.686206493,0.833445907,0.927658083,0.945744948,1.388059729,1.042777172,1.374923194,1.277512144,0.909914911,1.085140125,0.965632005,0.815990057,0.942318387,0.697231346,0.689469558,0.777938995,0.635556937,0.654248413,0.487301721,0.465819052,0.343904946,0.283250327,0.636915841,0.64421914,0.647345804,0.585189058,0.394526616,0.298287734,0.478517121,0.495647274,0.335270168,0.307378681,0.347977979,0.495257715
NaN,0.783612455,0.662722633,1.067182587,0.974687827,1.074652507,1.016084064,0.825867971,0.987515564,0.825630026,0.725764375,0.733527268,0.921686724,0.988441029,0.851448036,0.764546619,0.953823934,1.053242081,0.790585816,0.86714597,0.943880216,1.228577751,0.998518363,1.03393649,0.944338009,0.985949713,0.940687466,0.954387694,1.20403945,1.220287549,1.077531887,1.278668447,1.091680558,1.065632782,1.007125363,0.923967034,0.998415303,0.956220133,0.868280859,1.083909188,1.100987392,0.986815594,0.990206614,1.017616383,0.992946126,0.971756861,0.990264144,0.937774863,1.044483489,0.929630468,1.552213504,1.49518413,1.569738802,1.512561185,1.461397767,1.529684634,1.684028156,1.457826832,1.233566641,1.19739065,1.306476348,1.190012457,0.80231878,0.833445907,0.98071043,0.950678565,1.176052936,1.096874977,1.317182147,1.223644889,0.944939337,1.086095858,0.949748654,0.788128508,0.894280303,0.731183284,0.707391232,0.725273347,0.597756062,0.620739667,0.485135587,0.463247348,0.344898251,0.277306366,0.630573921,0.593117384,0.618118283,0.582098114,0.421901978,0.283503415,0.489303334,0.465257807,0.320747493,0.291998146,0.372281121,0.476090454
