Year,Study,Rs 0.5°C-MAT,Rs annual
1999,S21,2.24,872.8058641
2000,S21,1.37,700.5419521
1999,S21,3.79,872.8058641
1999,S21,3.07,872.8058641
1999,S21,2.52,872.8058641
1999,S21,2.14,872.8058641
1999,S21,1.82,872.8058641
1999,S21,1.63,872.8058641
2002,S21,1.74,1069.24654
1999,S21,1.87,872.8058641
1999,S21,1.96,872.8058641
2002,S21,1.52,1069.24654
1999,S21,2.79,872.8058641
1999,S21,1.75,872.8058641
1999,S21,1.05,872.8058641
1999,S21,1.31,872.8058641
1999,S21,0.48,872.8058641
1999,S21,0.9,872.8058641
1999,S21,0.45,872.8058641
1999,S21,0.72,872.8058641
1999,S21,0.69,872.8058641
2000,S21,1.12,700.5419521
1999,S21,2.64,872.8058641
1999,S21,2.49,872.8058641
1999,S21,2.07,872.8058641
1999,S21,2.21,872.8058641
1999,S21,1.29,789.7591652
2000,S21,0.64,830.2720072
1999,S21,2,789.7591652
2000,S21,0.62,830.2720072
1999,S21,1.66,789.7591652
2000,S21,1.13,830.2720072
1999,S21,2.62,789.7591652
2000,S21,1.45,830.2720072
2002,S21,3.35,1007.551041
1999,S21,2.63,789.7591652
1999,S21,2.13,789.7591652
2002,S21,1.33,1007.551041
1999,S21,2.69,789.7591652
2000,S21,0.63,830.2720072
1999,S21,2.6,789.7591652
2000,S21,0.84,830.2720072
1999,S21,3.13,789.7591652
1999,S21,2.75,789.7591652
1999,S21,1.66,789.7591652
2000,S21,0.73,830.2720072
2000,S21,0.97,830.2720072
2000,S21,1.2,830.2720072
1999,S21,2.62,789.7591652
2000,S21,1.28,830.2720072
1999,S21,1.66,789.7591652
1999,S21,1.54,789.7591652
1999,S21,1.93,789.7591652
1999,S21,2.39,789.7591652
2002,S21,2.15,1007.551041
1999,S21,2.14,789.7591652
1999,S21,1.04,789.7591652
2000,S21,1.12,830.2720072
1999,S21,0.63,789.7591652
1999,S21,0.91,789.7591652
1999,S21,1.36,789.7591652
2002,S21,0.96,1007.551041
2002,S21,1.05,1007.551041
1999,S21,1.52,789.7591652
2002,S21,2.31,1007.551041
1999,S21,2.23,789.7591652
1999,S21,0.51,789.7591652
1999,S21,1.48,789.7591652
1999,S21,0.18,789.7591652
2002,S21,3.17,1007.551041
1999,S21,1.09,789.7591652
2002,S21,3.07,1007.551041
1999,S21,0.81,789.7591652
1999,S21,1.74,789.7591652
1999,S21,2.39,789.7591652
1999,S21,1.51,789.7591652
2000,S21,0.84,830.2720072
1999,S21,2.09,789.7591652
1999,S21,2.12,789.7591652
2000,S21,0.97,830.2720072
2002,S21,2.48,1007.551041
1999,S21,0.99,789.7591652
1999,S21,0.43,789.7591652
1999,S21,1.14,789.7591652
1999,S21,1.19,789.7591652
1999,S21,2.07,789.7591652
2000,S21,0.94,830.2720072
1999,S21,1.67,789.7591652
1999,S21,1.76,789.7591652
2000,S21,2.59,830.2720072
1999,S21,1.18,789.7591652
1999,S21,2.36,789.7591652
2000,S21,2.1,830.2720072
2000,S21,1.4,830.2720072
2000,S21,1.16,830.2720072
1999,S21,2.09,789.7591652
1999,S21,2.99,789.7591652
2000,S21,1.1,830.2720072
2000,S21,1.16,830.2720072
1999,S21,2.04,569.2594728
1999,S21,0.8,569.2594728
1999,S21,1.42,569.2594728
1999,S21,1.85,569.2594728
1999,S21,1.22,569.2594728
1999,S21,1.23,569.2594728
1999,S21,2.52,569.2594728
1999,S21,2.51,569.2594728
1999,S21,2.87,569.2594728
1999,S21,2.38,569.2594728
1999,S21,2.63,569.2594728
1999,S21,2.26,569.2594728
1999,S21,1.46,569.2594728
1999,S21,2.17,569.2594728
1999,S21,1.34,569.2594728
1999,S21,2.33,569.2594728
1999,S21,2.6,569.2594728
1999,S21,2.24,569.2594728
1999,S21,1.76,569.2594728
1999,S21,0.93,569.2594728
1999,S21,2.18,569.2594728
1999,S21,2.42,569.2594728
1999,S21,2.75,569.2594728
1999,S21,1.57,569.2594728
1999,S21,1.88,569.2594728
1999,S21,2.48,569.2594728
1999,S21,2.05,569.2594728
1999,S21,2.03,569.2594728
1999,S21,1.45,569.2594728
1999,S21,2.04,569.2594728
1999,S21,2.65,569.2594728
1999,S21,3.09,569.2594728
1999,S21,1.91,569.2594728
1999,S21,1.44,569.2594728
1999,S21,3.35,569.2594728
1999,S21,2.48,569.2594728
1999,S21,2.96,569.2594728
1999,S21,1.05,569.2594728
1999,S21,1.57,569.2594728
1999,S21,0.79,569.2594728
1999,S21,2.07,569.2594728
1999,S21,1.73,569.2594728
1999,S21,1.32,569.2594728
1999,S21,2.1,569.2594728
1999,S21,1.47,569.2594728
1999,S21,2.27,569.2594728
1999,S21,1.44,569.2594728
1999,S21,1.96,569.2594728
1999,S21,1.7,569.2594728
1999,S21,1.55,569.2594728
1999,S21,1.53,569.2594728
1999,S21,1.51,569.2594728
1999,S21,1.26,569.2594728
1999,S21,1.36,569.2594728
1999,S21,1.53,569.2594728
1999,S21,2.19,569.2594728
1999,S21,1.24,569.2594728
1999,S21,1.52,569.2594728
1999,S21,1,569.2594728
1999,S21,1.57,569.2594728
1999,S21,2.62,569.2594728
1999,S21,2.56,569.2594728
1999,S21,1.82,569.2594728
1999,S21,0.39,569.2594728
1999,S21,1.3,569.2594728
1999,S21,2.24,569.2594728
1999,S21,3.79,569.2594728
1999,S21,3.07,569.2594728
1999,S21,2.52,569.2594728
1999,S21,2.14,569.2594728
1999,S21,1.82,569.2594728
1999,S21,1.63,569.2594728
1999,S21,1.87,569.2594728
1999,S21,1.96,569.2594728
1999,S21,2.79,569.2594728
1999,S21,1.75,569.2594728
1999,S21,1.05,569.2594728
1999,S21,0.99,569.2594728
1999,S21,1.31,569.2594728
1999,S21,0.48,569.2594728
1999,S21,0.45,569.2594728
1999,S21,0.72,569.2594728
1999,S21,0.69,569.2594728
1999,S21,2.07,569.2594728
1999,S21,2.64,569.2594728
1999,S21,2.49,569.2594728
1999,S21,2.07,569.2594728
1999,S21,2.21,569.2594728
2004,S23,0.55,868.8011045
2004,S23,0.92,868.8011045
2004,S23,1.01,868.8011045
2004,S23,0.36,868.8011045
2004,S23,1.14,868.8011045
2004,S23,1.04,868.8011045
2004,S23,0.68,868.8011045
2004,S23,1.88,868.8011045
2004,S23,2.39,868.8011045
2004,S23,0.4,868.8011045
2004,S23,2.71,868.8011045
2004,S23,0.27,868.8011045
2004,S23,2.48,868.8011045
2004,S23,2.07,868.8011045
2004,S23,4.57,868.8011045
2004,S23,3.96,868.8011045
2004,S23,4.37,868.8011045
2004,S23,0.71,868.8011045
2004,S23,1.3,868.8011045
2004,S23,1,868.8011045
2004,S23,0.92,868.8011045
2004,S23,0.6,868.8011045
2004,S23,3.67,868.8011045
2004,S23,3.26,868.8011045
2004,S23,1.79,868.8011045
2004,S23,1.1,868.8011045
2004,S23,3.11,868.8011045
2004,S23,0.49,868.8011045
2004,S23,1.06,868.8011045
2004,S23,0.65,868.8011045
2004,S23,0.73,868.8011045
2004,S23,0.92,868.8011045
2004,S23,0.96,868.8011045
2004,S23,0.65,868.8011045
2004,S23,0.8,868.8011045
2004,S23,1.79,868.8011045
2004,S23,1.97,868.8011045
2004,S23,0.14,868.8011045
2004,S23,0.69,868.8011045
2004,S23,0.14,868.8011045
2004,S23,0.21,868.8011045
2004,S23,0.55,868.8011045
2004,S23,0.71,868.8011045
2004,S23,0.7,868.8011045
2004,S23,0.51,868.8011045
2005,S23,0.07,950.5136264
2005,S23,0.38,950.5136264
2005,S23,0.74,950.5136264
2005,S23,0.63,950.5136264
2005,S23,0.1,950.5136264
2005,S23,0.3,950.5136264
2005,S23,0.31,950.5136264
2005,S23,0.32,950.5136264
2005,S23,0.62,950.5136264
2005,S23,1.62,950.5136264
2005,S23,1.24,950.5136264
2005,S23,1.57,950.5136264
2005,S23,0.85,950.5136264
2005,S23,1.31,950.5136264
2005,S23,0.49,950.5136264
2005,S23,2.17,950.5136264
2005,S23,1.53,950.5136264
2005,S23,2.26,950.5136264
2005,S23,0.45,950.5136264
2005,S23,2.16,950.5136264
2005,S23,1.57,950.5136264
2005,S23,2.32,950.5136264
2005,S23,1.51,950.5136264
2005,S23,3.06,950.5136264
2005,S23,2.12,950.5136264
2005,S23,3.64,950.5136264
2005,S23,0.82,950.5136264
2005,S23,0.89,950.5136264
2005,S23,1.08,950.5136264
2005,S23,0.38,950.5136264
2005,S23,0.21,950.5136264
2005,S23,0.19,950.5136264
2005,S23,0.22,950.5136264
2005,S23,0.5,950.5136264
2005,S23,0.55,950.5136264
2005,S23,0.43,950.5136264
2005,S23,0.54,950.5136264
2005,S23,0.24,950.5136264
