Rs measured,Rs modeled
0.26,0.554080087
0.13,0.596727451
0.35,0.588669849
0.31,0.572879581
0.28,0.549984777
0.32,0.467196921
0.671296296,0.491687846
0.386574074,0.491687846
0.597222222,0.491687846
0.391203704,0.491687846
0.412037037,0.491687846
0.347222222,0.491687846
0.460648148,0.460016276
0.418981481,0.460016276
0.196759259,0.460016276
0.199074074,0.460016276
0.31712963,0.460016276
0.303240741,0.460016276
0.534722222,0.444953944
0.298611111,0.444953944
0.479166667,0.444953944
0.335648148,0.444953944
0.590277778,0.444953944
0.1875,0.44991911
0.125,0.44991911
0.108796296,0.44991911
0.326388889,0.44991911
0.25,0.44991911
0.168981481,0.44991911
0.842592593,0.46514952
0.990740741,0.46514952
0.435185185,0.46514952
0.738425926,0.46514952
0.615740741,0.46514952
0.849537037,0.46514952
0.900462963,0.407155239
0.405092593,0.407155239
0.305555556,0.407155239
0.553240741,0.407155239
0.837962963,0.416292691
0.740740741,0.416292691
0.986111111,0.416292691
0.592592593,0.416292691
0.634259259,0.416292691
0.516203704,0.47558849
0.449074074,0.47558849
0.458333333,0.47558849
0.319444444,0.47558849
0.564814815,0.47558849
0.12037037,0.454939681
0.583333333,0.454939681
0.611111111,0.454939681
0.157407407,0.454939681
0.5625,0.454939681
0.386574074,0.454939681
0.513888889,0.454939681
0.335648148,0.454939681
0.305555556,0.454939681
0.428240741,0.454939681
