#Datasets,4_TES_45_Merged_CAZY,5_TES_129_Merged_CAZY,7_TES_27_Merged_CAZY,17_TES_144_Merged_CAZY,23_TES_136_Merged_CAZY,32_TES_43_Merged_CAZY,37_TES_034_Merged_CAZY,42_TES_027_merged_CAZY,44_TES_140_Merged_CAZY,49_TES_40_Merged_CAZY,55_TES_134_Merged_CAZY,58_TES_130_merged_CAZY,59_TES_139_Merged_CAZY,66_TES_026_Merged_CAZY,70_TES_135_Merged_CAZY,73_TES_031_Merged_CAZY,79_TES_35_Merged_CAZY,85_TES_029_Merged_CAZY,86_TES_44_Merged_CAZY,87_TES_128_Merged_CAZY,90_TES_138_Merged_CAZY,104_TES_131_Merged_CAZY,110_TES_036_Merged_CAZY,113_TES_122_merged_CAZY,117_TES_141_Merged_CAZY,119_TES_042_Merged_CAZY,122_TES_121_merged_CAZY,123_TES_033_Merged_CAZY,130_TES_133_Merged_CAZY,137_TES_038_Merged_CAZY,143_TES_025_Merged_CAZY
"uncultured bacterium Contigcl_1794",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured bacterium CSL1",0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured bacterium CSLD10",20.0,16.0,18.0,20.0,16.0,125.0,20.0,17.0,16.0,7.0,7.0,3.0,2.0,0.0,21.0,13.0,51.0,10.0,10.0,16.0,7.0,12.0,11.0,32.0,19.0,2.0,7.0,12.0,7.0,9.0,13.0
"uncultured bacterium CSLG10",0.0,5.0,0.0,9.0,3.0,28.0,10.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,9.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
"uncultured bacterium esnapd16.1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"uncultured bacterium F39-01",0.0,4.0,11.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,5.0,6.0
"uncultured bacterium L11E10",0.0,0.0,8.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,4.0
"uncultured bacterium lac193",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured marine bacterium 1n22",48.0,28.0,36.0,23.0,39.0,240.0,69.0,37.0,232.0,42.0,46.0,12.0,13.0,46.0,30.0,16.0,41.0,33.0,66.0,24.0,40.0,33.0,96.0,116.0,37.0,3.0,21.0,41.0,62.0,68.0,67.0
"uncultured marine bacterium 560",3.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0
