"","Sample","Site","Warming","Horizon","Experiment.duration","Plot","Timepoint","Timepoint_days","MBC","BG","NAG","OX","Respiration","avg.C","avg.N","log.mbc","log.n","log.resp","log.bg","OX.std","avg.C.std","log.mbc.std","log.n.std","log.resp.std","log.bg.std","meanFunction"
"16","PS17","PH","Heated","Mineral",28,1,"July",197,284.8301423,1565.2385,1063.8174,0.004116766,0.292614272,0.0545410465,0.002892833,5.65189301066504,-5.84551898019874,-1.22890001509898,7.35579348752927,0.020690943912996,0.0930157688113106,0.668442111854752,0.205340438312158,0.202624705566816,0.785876265480308,0.32933170565639
"17","PS18","SWaN","Control","Mineral",13,12,"July",197,885.7650818,1391.6098,701.5868,0.005778868,0.405596239,0.091744669,0.005105258,6.78645177075275,-5.27748428995498,-0.902397099430601,7.23821648550651,0.0290447000554822,0.156463828052405,0.80262491612675,0.468303566317723,0.295900199337052,0.773314605693003,0.420941969263736
"18","PS19","SWaN","Heated","Mineral",13,13,"July",197,155.2767557,1337.3515,609.6155,0.003900187,0.229129802,0.05450103,0.0025663095,5.04520904541735,-5.96528640431784,-1.47346661504952,7.19844644456871,0.0196024137556509,0.0929475235950653,0.596690380144094,0.149895908214864,0.13275681381033,0.769065664867899,0.293493117397984
"19","PS21","SWaN","Heated","Mineral",13,18,"July",197,236.8697081,775.3621,310.9247,0.002468975,0.215407448,0.0505664215,0.0025269095,5.4675102351122,-5.98075826443464,-1.53522393732746,6.65333014604381,0.0124091151276486,0.0862373363492262,0.646635398308051,0.142733442960086,0.115113955345773,0.710826677916528,0.285659321001219
"20","PS22","SWaN","Control","Organic",13,12,"July",197,1199.586156,5423.2172,7881.0903,0.008574836,2.636808881,0.0300319315,0.0124703955,7.08973190629476,-4.38439780367445,0.969569428825038,8.59844449767095,0.0430972881963995,0.0512172643654925,0.838493467407313,0.881744541042434,0.830684404516241,0.918638276377041,0.593979206984154
"21","PS23","SWaN","Control","Organic",13,1,"July",197,2214.737798,8519.8124,5275.9011,0.009425511,2.759720465,0.0855741315,0.013919075,7.70288929985152,-4.27449507743326,1.01512939380271,9.0501496008016,0.0473727968634425,0.145940427304282,0.911010803152176,0.932622357424248,0.84369999496127,0.966897423421957,0.641257300521229
"22","PS24","PH","Control","Organic",28,3,"July",197,2130.342912,7315.5924,10003.5611,0.008236177,3.500420917,0.1200803795,0.0153238655,7.66403823729502,-4.17834382926396,1.25288322326447,8.89776329445405,0.0413951816461046,0.204788311466419,0.906415937988581,0.977134133578959,0.911621611506143,0.950616816639592,0.665328665470966
"23","PS25","SWaN","Control","Mineral",13,20,"July",197,387.5779122,2079.2021,1251.787,0.008479136,0.281159586,0.057943432,0.0030727235,5.95991689232473,-5.78519097710294,-1.26883284914671,7.63973949333062,0.04261629818325,0.0988182886268216,0.704871699883008,0.233268381222816,0.191216676312859,0.816212411677932,0.347833959317781
"24","PS26","PH","Heated","Organic",28,15,"July",197,587.1362799,1917.6143,5070.2181,0.009682399,1.473238928,0.128925628,0.006271909,6.37525695625543,-5.07167450496786,0.387463329350442,7.55883714033058,0.0486639208184892,0.219873236350554,0.75399343466246,0.563580115028407,0.664388082953505,0.807568988075566,0.509677962981497
"25","PS27","PH","Control","Mineral",28,5,"July",197,294.0910967,1391.8173,1749.6822,0.006353519,0.505813725,0.083065724,0.0039747875,5.68388957206533,-5.52778399142433,-0.681586809883109,7.23836558228033,0.0319329068689244,0.14166252163365,0.672226303988988,0.352431079007145,0.358981378091396,0.773330534853603,0.388427454073951
